Action,Target,Timestamp,x_Coordinates,y_Coordinates,browser,browserVersion,microtime,scrnwidth,scrnheight,ipAddress,inputValue,url,starttime,endtime,ctrl,alt,shift,meta,X,Y,scrnheigthipAddress
scroll,Page,2024-01-20T11:43:33.163Z,,,Chrome,120.0.0.0,14948.699999809263,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:33.267Z,,False,False,False,False,0.0,924.1599731445312,
scroll,Page,2024-01-20T11:43:32.566Z,,,Chrome,120.0.0.0,14352.199999809263,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:33.267Z,,False,False,False,False,0.0,537.5999755859375,
mousemove,flex-item,2024-01-20T11:43:32.082Z,,,Chrome,120.0.0.0,13868.5,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:33.267Z,,False,False,False,False,181.0,402.0,
scroll,Page,2024-01-20T11:43:31.037Z,,,Chrome,120.0.0.0,12823.400000095367,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:32.566Z,,False,False,False,False,0.0,214.3999938964844,
mousemove,Page,2024-01-20T11:43:30.452Z,,,Chrome,120.0.0.0,12238.099999904633,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:32.082Z,,False,False,False,False,161.0,317.0,
mousemove,Page,2024-01-20T11:43:27.469Z,,,Chrome,120.0.0.0,9255.599999904633,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:27.469Z,,False,False,False,False,702.0,318.0,
mousemove,Page,2024-01-20T11:43:27.203Z,,,Chrome,120.0.0.0,8989.5,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:27.469Z,,False,False,False,False,702.0,318.0,
mousemove,Page,2024-01-20T11:43:24.747Z,,,Chrome,120.0.0.0,6532.800000190735,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:24.747Z,,False,False,False,False,632.0,332.0,
mousemove,Page,2024-01-20T11:43:23.687Z,,,Chrome,120.0.0.0,5473.300000190735,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:23.687Z,,False,False,False,False,625.0,160.0,
zoom,Page,2024-01-20T11:43:23.110Z,,,Chrome,120.0.0.0,4895.900000095367,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:23.110Z,,False,False,False,False,444.0,213.0,
scroll,Page,2024-01-20T11:43:21.929Z,,,Chrome,120.0.0.0,3715.599999904633,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:21.929Z,,False,False,False,False,0.0,348.79998779296875,
scroll,Page,2024-01-20T11:43:20.047Z,,,Chrome,120.0.0.0,1833.0,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:20.047Z,,False,False,False,False,0.0,1177.5999755859375,
scroll,Page,2024-01-20T11:43:19.880Z,,,Chrome,120.0.0.0,1666.0999999046326,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:20.047Z,,False,False,False,False,0.0,1151.3599853515625,
mousemove,Page,2024-01-20T11:43:18.899Z,,,Chrome,120.0.0.0,685.5,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:18.899Z,,False,False,False,False,444.0,213.0,
scroll,Page,2024-01-20T11:43:18.335Z,,,Chrome,120.0.0.0,120.80000019073486,1536,864.0,182.69.182.165,"(None,)",http://127.0.0.1:5000/,2024-01-20T11:43:18.335Z,,False,False,False,False,0.0,380.1600036621094,
mousemove,Page,2024-01-20T11:43:16.006Z,,,Chrome,120.0.0.0,32369.0,1536,864.0,182.69.182.165,"('',)",http://127.0.0.1:5000/map,2024-01-20T11:43:17.208Z,,False,False,False,False,83.0,101.0,
